gender,,Time_spend,feel,,felt_left,avoid,affect,amount,pressure,experience,worry,MentalStressLevel,distracted,others,share,Anxious,Follow,interact,impact
Other,,More than 4 hours a day,Happy and relaxed,,Often,Never,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Never,moderate,Rarely,Jealous,Rarely or never,Often,Rarely,Often,Sometimes
Other,,Less than 1 hour a day,Happy and relaxed,,Rarely,Rarely,It significantly affects my sleep,I feel it's out of control,Never,Rarely,Often,high,Rarely,Motivated,Sometimes,Rarely,Never,Sometimes,Never
Other,,More than 4 hours a day,Anxious or stressed,,Never,Never,It significantly affects my sleep,I feel I spend too much time,Sometimes,Often,Never,high,Occasionally,Jealous,Often,Often,Never,Often,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Rarely,Often,It moderately affects my sleep,I'm satisfied,Rarely,Sometimes,Never,moderate,Very often,Motivated,Often,Rarely,Sometimes,Never,Never
Male,,3-4 hours a day,Depressed or sad,,Rarely,Often,It moderately affects my sleep,I feel it's out of control,Sometimes,Often,Rarely,normal,Often,Motivated,Rarely or never,Often,Often,Never,Often
Other,,3-4 hours a day,Happy and relaxed,,Rarely,Never,It significantly affects my sleep,I feel it's out of control,Rarely,Sometimes,Rarely,moderate,Occasionally,Motivated,Rarely or never,Often,Rarely,Never,Rarely
Other,,3-4 hours a day,Depressed or sad,,Often,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Sometimes,Never,Often,normal,Occasionally,Motivated,Rarely or never,Never,Often,Never,Rarely
Male,,3-4 hours a day,Happy and relaxed,,Rarely,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Rarely,Sometimes,moderate,Occasionally,Motivated,Sometimes,Often,Sometimes,Rarely,Sometimes
Female,,More than 4 hours a day,Happy and relaxed,,Often,Sometimes,It moderately affects my sleep,I'm satisfied,Rarely,Rarely,Sometimes,high,Rarely,Motivated,Always,Often,Sometimes,Sometimes,Sometimes
Female,,1-2 hours a day,Anxious or stressed,,Sometimes,Rarely,It slightly affects my sleep,I feel it's out of control,Rarely,Never,Sometimes,normal,Often,Jealous,Always,Rarely,Rarely,Never,Rarely
Female,,More than 4 hours a day,Anxious or stressed,,Sometimes,Often,It slightly affects my sleep,I feel I spend too much time,Never,Never,Never,normal,Very often,Motivated,Sometimes,Never,Rarely,Often,Sometimes
Female,,1-2 hours a day,Happy and relaxed,,Sometimes,Never,It significantly affects my sleep,I'm satisfied,Rarely,Often,Never,moderate,Rarely,Indifferent,Often,Rarely,Never,Never,Often
Other,,Less than 1 hour a day,Depressed or sad,,Sometimes,Often,It doesn't affect my sleep,I feel it's out of control,Often,Sometimes,Rarely,moderate,Rarely,Indifferent,Sometimes,Never,Never,Rarely,Sometimes
Other,,3-4 hours a day,Neutral,,Often,Sometimes,It moderately affects my sleep,I feel it's out of control,Sometimes,Rarely,Never,high,Occasionally,Motivated,Sometimes,Sometimes,Never,Never,Rarely
Male,,1-2 hours a day,Neutral,,Never,Rarely,It slightly affects my sleep,I feel I spend too much time,Rarely,Rarely,Sometimes,high,Occasionally,Indifferent,Often,Never,Sometimes,Rarely,Sometimes
Other,,3-4 hours a day,Happy and relaxed,,Often,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Rarely,Sometimes,moderate,Very often,Jealous,Rarely or never,Rarely,Often,Often,Rarely
Male,,1-2 hours a day,Depressed or sad,,Often,Rarely,It moderately affects my sleep,I feel it's out of control,Sometimes,Rarely,Never,normal,Often,Indifferent,Often,Never,Rarely,Sometimes,Never
Female,,More than 4 hours a day,Neutral,,Never,Sometimes,It slightly affects my sleep,I feel it's out of control,Never,Often,Never,high,Often,Jealous,Always,Sometimes,Never,Sometimes,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Sometimes,It doesn't affect my sleep,I'm satisfied,Sometimes,Rarely,Sometimes,high,Rarely,Indifferent,Rarely or never,Never,Rarely,Never,Never
Male,,More than 4 hours a day,Anxious or stressed,,Often,Never,It doesn't affect my sleep,I'm satisfied,Sometimes,Rarely,Rarely,moderate,Occasionally,Depressed,Always,Rarely,Sometimes,Often,Often
Male,,More than 4 hours a day,Neutral,,Sometimes,Never,It moderately affects my sleep,I feel it's out of control,Never,Rarely,Often,normal,Rarely,Indifferent,Always,Sometimes,Never,Sometimes,Never
Male,,3-4 hours a day,Depressed or sad,,Sometimes,Sometimes,It significantly affects my sleep,I feel I spend too much time,Rarely,Often,Never,high,Very often,Depressed,Rarely or never,Never,Rarely,Never,Sometimes
Female,,3-4 hours a day,Anxious or stressed,,Never,Rarely,It moderately affects my sleep,I feel I spend too much time,Sometimes,Sometimes,Sometimes,moderate,Very often,Depressed,Always,Sometimes,Never,Rarely,Never
Other,,More than 4 hours a day,Happy and relaxed,,Never,Sometimes,It doesn't affect my sleep,I feel I spend too much time,Never,Rarely,Rarely,high,Rarely,Depressed,Always,Never,Often,Sometimes,Often
Other,,Less than 1 hour a day,Anxious or stressed,,Often,Rarely,It significantly affects my sleep,I feel I could reduce it a bit,Never,Rarely,Sometimes,high,Often,Jealous,Always,Sometimes,Never,Rarely,Never
Female,,Less than 1 hour a day,Anxious or stressed,,Rarely,Rarely,It slightly affects my sleep,I'm satisfied,Never,Often,Never,moderate,Often,Indifferent,Rarely or never,Rarely,Rarely,Often,Often
Male,,More than 4 hours a day,Anxious or stressed,,Never,Sometimes,It doesn't affect my sleep,I feel it's out of control,Sometimes,Sometimes,Never,moderate,Very often,Jealous,Often,Often,Never,Rarely,Never
Other,,3-4 hours a day,Happy and relaxed,,Sometimes,Sometimes,It doesn't affect my sleep,I feel I spend too much time,Never,Sometimes,Rarely,normal,Rarely,Motivated,Always,Sometimes,Often,Often,Never
Female,,More than 4 hours a day,Happy and relaxed,,Rarely,Rarely,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Rarely,Rarely,moderate,Very often,Motivated,Always,Rarely,Often,Never,Sometimes
Male,,1-2 hours a day,Happy and relaxed,,Rarely,Often,It moderately affects my sleep,I feel it's out of control,Sometimes,Often,Never,moderate,Very often,Indifferent,Always,Rarely,Never,Never,Sometimes
Male,,3-4 hours a day,Neutral,,Often,Often,It doesn't affect my sleep,I'm satisfied,Often,Sometimes,Often,normal,Very often,Motivated,Rarely or never,Often,Rarely,Never,Rarely
Male,,Less than 1 hour a day,Anxious or stressed,,Often,Sometimes,It slightly affects my sleep,I feel it's out of control,Rarely,Never,Never,moderate,Occasionally,Motivated,Often,Rarely,Never,Sometimes,Never
Female,,Less than 1 hour a day,Depressed or sad,,Never,Often,It slightly affects my sleep,I feel I could reduce it a bit,Often,Sometimes,Rarely,moderate,Rarely,Jealous,Often,Sometimes,Rarely,Sometimes,Never
Other,,More than 4 hours a day,Depressed or sad,,Never,Rarely,It slightly affects my sleep,I'm satisfied,Rarely,Often,Never,normal,Occasionally,Depressed,Sometimes,Never,Never,Rarely,Sometimes
Male,,3-4 hours a day,Happy and relaxed,,Never,Often,It doesn't affect my sleep,I'm satisfied,Never,Often,Rarely,high,Very often,Depressed,Always,Sometimes,Never,Sometimes,Never
Other,,Less than 1 hour a day,Depressed or sad,,Sometimes,Rarely,It moderately affects my sleep,I feel it's out of control,Often,Sometimes,Never,moderate,Occasionally,Jealous,Always,Often,Sometimes,Rarely,Often
Male,,1-2 hours a day,Happy and relaxed,,Sometimes,Rarely,It significantly affects my sleep,I'm satisfied,Often,Often,Never,moderate,Very often,Motivated,Rarely or never,Often,Often,Rarely,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Rarely,It slightly affects my sleep,I'm satisfied,Never,Sometimes,Sometimes,normal,Often,Jealous,Often,Never,Rarely,Sometimes,Sometimes
Female,,Less than 1 hour a day,Happy and relaxed,,Never,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Never,moderate,Often,Motivated,Always,Often,Never,Often,Rarely
Other,,3-4 hours a day,Neutral,,Sometimes,Often,It slightly affects my sleep,I feel I could reduce it a bit,Sometimes,Rarely,Sometimes,moderate,Often,Motivated,Often,Often,Rarely,Rarely,Often
Female,,More than 4 hours a day,Anxious or stressed,,Sometimes,Sometimes,It slightly affects my sleep,I feel I spend too much time,Never,Rarely,Often,moderate,Very often,Depressed,Sometimes,Sometimes,Rarely,Rarely,Rarely
Female,,More than 4 hours a day,Depressed or sad,,Never,Often,It doesn't affect my sleep,I feel I spend too much time,Sometimes,Often,Never,normal,Very often,Indifferent,Often,Sometimes,Sometimes,Sometimes,Often
Other,,1-2 hours a day,Depressed or sad,,Often,Often,It moderately affects my sleep,I feel I spend too much time,Often,Rarely,Rarely,moderate,Often,Jealous,Always,Rarely,Never,Rarely,Often
Female,,More than 4 hours a day,Depressed or sad,,Often,Often,It moderately affects my sleep,I feel I spend too much time,Often,Often,Rarely,moderate,Very often,Jealous,Often,Rarely,Never,Often,Rarely
Other,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Rarely,It doesn't affect my sleep,I feel I spend too much time,Often,Never,Sometimes,high,Very often,Depressed,Always,Sometimes,Never,Rarely,Never
Other,,Less than 1 hour a day,Neutral,,Never,Rarely,It doesn't affect my sleep,I feel I spend too much time,Sometimes,Often,Sometimes,moderate,Rarely,Jealous,Sometimes,Rarely,Never,Often,Often
Male,,More than 4 hours a day,Anxious or stressed,,Often,Often,It slightly affects my sleep,I'm satisfied,Often,Sometimes,Sometimes,normal,Rarely,Indifferent,Sometimes,Sometimes,Rarely,Rarely,Sometimes
Other,,More than 4 hours a day,Neutral,,Never,Often,It slightly affects my sleep,I feel it's out of control,Never,Never,Never,high,Rarely,Indifferent,Often,Often,Sometimes,Rarely,Never
Male,,Less than 1 hour a day,Anxious or stressed,,Never,Often,It moderately affects my sleep,I feel it's out of control,Never,Rarely,Rarely,moderate,Rarely,Motivated,Sometimes,Often,Often,Never,Rarely
Female,,Less than 1 hour a day,Depressed or sad,,Often,Never,It moderately affects my sleep,I feel I spend too much time,Never,Sometimes,Rarely,moderate,Very often,Motivated,Rarely or never,Never,Rarely,Often,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Never,It doesn't affect my sleep,I feel it's out of control,Rarely,Often,Often,moderate,Rarely,Depressed,Always,Rarely,Often,Never,Rarely
Female,,More than 4 hours a day,Anxious or stressed,,Rarely,Sometimes,It slightly affects my sleep,I feel it's out of control,Sometimes,Rarely,Sometimes,high,Very often,Jealous,Sometimes,Sometimes,Sometimes,Often,Never
Female,,1-2 hours a day,Depressed or sad,,Sometimes,Never,It moderately affects my sleep,I'm satisfied,Often,Sometimes,Often,normal,Often,Motivated,Sometimes,Rarely,Often,Never,Rarely
Female,,More than 4 hours a day,Neutral,,Rarely,Never,It significantly affects my sleep,I feel I spend too much time,Never,Rarely,Never,moderate,Very often,Indifferent,Often,Never,Often,Often,Often
Other,,Less than 1 hour a day,Depressed or sad,,Often,Often,It slightly affects my sleep,I feel I spend too much time,Sometimes,Often,Never,moderate,Very often,Motivated,Often,Rarely,Never,Never,Never
Other,,3-4 hours a day,Anxious or stressed,,Never,Often,It doesn't affect my sleep,I feel it's out of control,Often,Rarely,Never,normal,Occasionally,Jealous,Sometimes,Often,Rarely,Sometimes,Rarely
Male,,Less than 1 hour a day,Depressed or sad,,Never,Sometimes,It moderately affects my sleep,I feel I could reduce it a bit,Never,Never,Sometimes,moderate,Occasionally,Indifferent,Sometimes,Often,Never,Sometimes,Sometimes
Male,,1-2 hours a day,Anxious or stressed,,Rarely,Sometimes,It moderately affects my sleep,I feel I spend too much time,Sometimes,Sometimes,Sometimes,high,Rarely,Indifferent,Sometimes,Rarely,Sometimes,Never,Sometimes
Male,,Less than 1 hour a day,Happy and relaxed,,Sometimes,Never,It moderately affects my sleep,I feel I could reduce it a bit,Sometimes,Often,Rarely,high,Often,Depressed,Always,Never,Sometimes,Often,Rarely
Other,,3-4 hours a day,Happy and relaxed,,Never,Often,It moderately affects my sleep,I feel it's out of control,Never,Never,Rarely,moderate,Very often,Jealous,Always,Never,Never,Often,Sometimes
Male,,Less than 1 hour a day,Anxious or stressed,,Rarely,Sometimes,It slightly affects my sleep,I feel I spend too much time,Never,Never,Rarely,moderate,Often,Motivated,Often,Rarely,Never,Often,Sometimes
Male,,More than 4 hours a day,Depressed or sad,,Rarely,Never,It doesn't affect my sleep,I feel I spend too much time,Rarely,Rarely,Never,high,Occasionally,Motivated,Always,Sometimes,Never,Rarely,Often
Female,,1-2 hours a day,Anxious or stressed,,Sometimes,Sometimes,It moderately affects my sleep,I feel I spend too much time,Often,Sometimes,Never,normal,Occasionally,Jealous,Always,Often,Often,Rarely,Often
Other,,3-4 hours a day,Neutral,,Rarely,Never,It doesn't affect my sleep,I'm satisfied,Never,Sometimes,Sometimes,high,Occasionally,Jealous,Often,Never,Never,Rarely,Often
Female,,3-4 hours a day,Depressed or sad,,Never,Rarely,It significantly affects my sleep,I feel it's out of control,Often,Never,Often,high,Rarely,Depressed,Sometimes,Never,Sometimes,Often,Sometimes
Male,,More than 4 hours a day,Depressed or sad,,Sometimes,Never,It slightly affects my sleep,I feel it's out of control,Never,Often,Often,moderate,Occasionally,Jealous,Often,Often,Sometimes,Sometimes,Rarely
Male,,More than 4 hours a day,Depressed or sad,,Never,Rarely,It significantly affects my sleep,I feel I could reduce it a bit,Sometimes,Never,Sometimes,moderate,Very often,Depressed,Always,Rarely,Sometimes,Never,Often
Female,,Less than 1 hour a day,Depressed or sad,,Never,Rarely,It doesn't affect my sleep,I feel I could reduce it a bit,Rarely,Often,Never,normal,Often,Depressed,Always,Often,Rarely,Often,Often
Female,,More than 4 hours a day,Anxious or stressed,,Often,Never,It moderately affects my sleep,I feel I could reduce it a bit,Sometimes,Rarely,Rarely,moderate,Often,Depressed,Sometimes,Never,Never,Rarely,Rarely
Female,,More than 4 hours a day,Depressed or sad,,Rarely,Rarely,It moderately affects my sleep,I'm satisfied,Rarely,Rarely,Sometimes,high,Often,Motivated,Often,Never,Rarely,Never,Rarely
Female,,More than 4 hours a day,Depressed or sad,,Never,Often,It significantly affects my sleep,I feel it's out of control,Rarely,Never,Never,moderate,Often,Indifferent,Always,Sometimes,Rarely,Never,Rarely
Male,,3-4 hours a day,Neutral,,Rarely,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Often,Never,Sometimes,normal,Rarely,Motivated,Sometimes,Often,Sometimes,Never,Rarely
Male,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Often,It significantly affects my sleep,I'm satisfied,Sometimes,Never,Sometimes,moderate,Occasionally,Jealous,Sometimes,Sometimes,Never,Rarely,Sometimes
Other,,Less than 1 hour a day,Depressed or sad,,Rarely,Often,It doesn't affect my sleep,I feel I spend too much time,Often,Rarely,Sometimes,high,Rarely,Motivated,Always,Often,Rarely,Often,Never
Female,,3-4 hours a day,Neutral,,Sometimes,Sometimes,It doesn't affect my sleep,I'm satisfied,Sometimes,Often,Often,high,Often,Motivated,Sometimes,Often,Sometimes,Sometimes,Often
Male,,1-2 hours a day,Happy and relaxed,,Never,Never,It moderately affects my sleep,I feel I spend too much time,Never,Rarely,Rarely,high,Rarely,Jealous,Often,Often,Never,Never,Sometimes
Male,,1-2 hours a day,Neutral,,Often,Never,It moderately affects my sleep,I feel it's out of control,Rarely,Rarely,Sometimes,high,Rarely,Jealous,Rarely or never,Rarely,Rarely,Often,Rarely
Other,,3-4 hours a day,Neutral,,Often,Sometimes,It doesn't affect my sleep,I feel it's out of control,Never,Sometimes,Sometimes,high,Often,Motivated,Often,Rarely,Rarely,Often,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Rarely,Sometimes,It significantly affects my sleep,I'm satisfied,Sometimes,Never,Rarely,high,Very often,Jealous,Rarely or never,Never,Never,Often,Rarely
Female,,3-4 hours a day,Happy and relaxed,,Rarely,Sometimes,It doesn't affect my sleep,I'm satisfied,Never,Sometimes,Often,moderate,Occasionally,Indifferent,Often,Never,Sometimes,Often,Often
Female,,More than 4 hours a day,Happy and relaxed,,Sometimes,Sometimes,It doesn't affect my sleep,I feel it's out of control,Never,Never,Rarely,high,Often,Indifferent,Always,Often,Sometimes,Never,Never
Other,,Less than 1 hour a day,Neutral,,Never,Sometimes,It slightly affects my sleep,I feel I spend too much time,Often,Sometimes,Often,moderate,Rarely,Jealous,Often,Sometimes,Sometimes,Sometimes,Sometimes
Female,,More than 4 hours a day,Anxious or stressed,,Never,Sometimes,It moderately affects my sleep,I feel it's out of control,Sometimes,Often,Rarely,moderate,Very often,Jealous,Sometimes,Never,Never,Rarely,Sometimes
Other,,1-2 hours a day,Anxious or stressed,,Often,Often,It moderately affects my sleep,I feel I spend too much time,Never,Never,Often,moderate,Very often,Depressed,Sometimes,Sometimes,Never,Never,Rarely
Male,,More than 4 hours a day,Depressed or sad,,Rarely,Sometimes,It doesn't affect my sleep,I'm satisfied,Often,Sometimes,Rarely,high,Occasionally,Jealous,Often,Sometimes,Often,Never,Never
Other,,More than 4 hours a day,Anxious or stressed,,Often,Sometimes,It doesn't affect my sleep,I feel I spend too much time,Sometimes,Often,Rarely,normal,Often,Motivated,Rarely or never,Rarely,Rarely,Sometimes,Rarely
Male,,Less than 1 hour a day,Happy and relaxed,,Rarely,Never,It moderately affects my sleep,I feel I spend too much time,Sometimes,Often,Never,moderate,Occasionally,Jealous,Often,Sometimes,Sometimes,Often,Often
Female,,More than 4 hours a day,Anxious or stressed,,Often,Rarely,It moderately affects my sleep,I'm satisfied,Often,Often,Rarely,moderate,Rarely,Jealous,Often,Sometimes,Often,Rarely,Rarely
Other,,3-4 hours a day,Depressed or sad,,Often,Never,It doesn't affect my sleep,I feel it's out of control,Often,Rarely,Rarely,moderate,Occasionally,Indifferent,Rarely or never,Often,Sometimes,Often,Sometimes
Female,,3-4 hours a day,Happy and relaxed,,Rarely,Often,It moderately affects my sleep,I feel I spend too much time,Sometimes,Often,Rarely,high,Occasionally,Indifferent,Often,Never,Sometimes,Often,Often
Male,,Less than 1 hour a day,Anxious or stressed,,Rarely,Never,It doesn't affect my sleep,I'm satisfied,Sometimes,Never,Often,moderate,Rarely,Indifferent,Always,Often,Never,Sometimes,Never
Other,,More than 4 hours a day,Neutral,,Rarely,Rarely,It significantly affects my sleep,I feel it's out of control,Rarely,Sometimes,Rarely,normal,Often,Jealous,Sometimes,Never,Rarely,Never,Sometimes
Female,,3-4 hours a day,Depressed or sad,,Never,Often,It significantly affects my sleep,I feel it's out of control,Often,Sometimes,Rarely,moderate,Very often,Indifferent,Always,Sometimes,Never,Often,Never
Female,,Less than 1 hour a day,Anxious or stressed,,Often,Never,It slightly affects my sleep,I feel I could reduce it a bit,Never,Never,Often,normal,Rarely,Jealous,Sometimes,Never,Never,Sometimes,Often
Female,,More than 4 hours a day,Happy and relaxed,,Never,Often,It moderately affects my sleep,I'm satisfied,Sometimes,Sometimes,Rarely,high,Very often,Indifferent,Rarely or never,Rarely,Rarely,Often,Never
Other,,1-2 hours a day,Happy and relaxed,,Rarely,Often,It doesn't affect my sleep,I'm satisfied,Sometimes,Often,Never,high,Rarely,Indifferent,Rarely or never,Often,Never,Sometimes,Never
Other,,1-2 hours a day,Neutral,,Often,Often,It moderately affects my sleep,I feel it's out of control,Rarely,Never,Rarely,moderate,Very often,Depressed,Always,Rarely,Sometimes,Often,Often
Female,,3-4 hours a day,Happy and relaxed,,Often,Never,It slightly affects my sleep,I'm satisfied,Never,Often,Never,moderate,Occasionally,Motivated,Sometimes,Never,Never,Never,Never
Other,,3-4 hours a day,Depressed or sad,,Never,Sometimes,It slightly affects my sleep,I feel it's out of control,Never,Never,Rarely,high,Often,Motivated,Always,Rarely,Sometimes,Rarely,Never
Male,,1-2 hours a day,Happy and relaxed,,Often,Never,It doesn't affect my sleep,I'm satisfied,Sometimes,Often,Sometimes,normal,Very often,Motivated,Often,Often,Rarely,Often,Never
Other,,3-4 hours a day,Neutral,,Rarely,Often,It doesn't affect my sleep,I feel it's out of control,Often,Rarely,Sometimes,high,Rarely,Depressed,Rarely or never,Sometimes,Sometimes,Sometimes,Sometimes
Female,,Less than 1 hour a day,Neutral,,Rarely,Never,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Never,normal,Very often,Depressed,Often,Often,Often,Sometimes,Sometimes
Male,,1-2 hours a day,Depressed or sad,,Sometimes,Rarely,It doesn't affect my sleep,I feel I spend too much time,Rarely,Rarely,Rarely,normal,Often,Depressed,Sometimes,Rarely,Never,Often,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Rarely,Never,It moderately affects my sleep,I feel it's out of control,Sometimes,Rarely,Often,moderate,Rarely,Motivated,Often,Often,Rarely,Often,Often
Other,,3-4 hours a day,Happy and relaxed,,Rarely,Rarely,It doesn't affect my sleep,I feel it's out of control,Often,Sometimes,Never,normal,Occasionally,Motivated,Rarely or never,Often,Never,Often,Sometimes
Female,,3-4 hours a day,Neutral,,Rarely,Rarely,It slightly affects my sleep,I feel I spend too much time,Sometimes,Rarely,Never,moderate,Rarely,Depressed,Always,Often,Sometimes,Rarely,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Rarely,Never,It doesn't affect my sleep,I feel I spend too much time,Never,Rarely,Sometimes,moderate,Rarely,Motivated,Rarely or never,Rarely,Often,Never,Often
Male,,1-2 hours a day,Neutral,,Sometimes,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Often,Rarely,Often,high,Very often,Motivated,Often,Rarely,Sometimes,Rarely,Rarely
Other,,1-2 hours a day,Happy and relaxed,,Never,Never,It slightly affects my sleep,I feel I spend too much time,Often,Never,Rarely,high,Rarely,Jealous,Often,Never,Often,Rarely,Often
Female,,Less than 1 hour a day,Anxious or stressed,,Never,Sometimes,It moderately affects my sleep,I feel it's out of control,Rarely,Often,Sometimes,moderate,Often,Jealous,Sometimes,Often,Rarely,Sometimes,Often
Female,,Less than 1 hour a day,Neutral,,Often,Sometimes,It moderately affects my sleep,I'm satisfied,Often,Sometimes,Never,moderate,Often,Indifferent,Sometimes,Rarely,Often,Often,Rarely
Other,,More than 4 hours a day,Happy and relaxed,,Sometimes,Sometimes,It slightly affects my sleep,I feel it's out of control,Never,Rarely,Often,normal,Very often,Motivated,Rarely or never,Sometimes,Often,Sometimes,Rarely
Female,,1-2 hours a day,Neutral,,Rarely,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Sometimes,Never,Sometimes,high,Often,Jealous,Sometimes,Often,Never,Sometimes,Rarely
Female,,1-2 hours a day,Anxious or stressed,,Sometimes,Never,It significantly affects my sleep,I feel I could reduce it a bit,Rarely,Rarely,Never,normal,Very often,Jealous,Rarely or never,Sometimes,Often,Rarely,Rarely
Male,,More than 4 hours a day,Happy and relaxed,,Sometimes,Never,It doesn't affect my sleep,I'm satisfied,Often,Often,Rarely,normal,Often,Depressed,Sometimes,Sometimes,Often,Often,Never
Other,,More than 4 hours a day,Neutral,,Rarely,Often,It significantly affects my sleep,I feel I spend too much time,Never,Sometimes,Rarely,moderate,Very often,Indifferent,Sometimes,Sometimes,Rarely,Never,Rarely
Male,,3-4 hours a day,Happy and relaxed,,Often,Often,It moderately affects my sleep,I feel I could reduce it a bit,Often,Never,Never,normal,Rarely,Jealous,Always,Never,Sometimes,Rarely,Sometimes
Female,,More than 4 hours a day,Anxious or stressed,,Sometimes,Often,It moderately affects my sleep,I feel I spend too much time,Sometimes,Never,Rarely,moderate,Often,Depressed,Always,Sometimes,Never,Rarely,Rarely
Male,,1-2 hours a day,Anxious or stressed,,Sometimes,Rarely,It doesn't affect my sleep,I feel I spend too much time,Rarely,Rarely,Rarely,high,Rarely,Motivated,Always,Never,Sometimes,Rarely,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Rarely,It doesn't affect my sleep,I'm satisfied,Rarely,Never,Often,moderate,Rarely,Depressed,Always,Never,Rarely,Rarely,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Often,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Never,Often,Sometimes,normal,Often,Depressed,Always,Never,Rarely,Often,Often
Male,,3-4 hours a day,Depressed or sad,,Never,Often,It doesn't affect my sleep,I feel I spend too much time,Rarely,Sometimes,Never,normal,Often,Depressed,Sometimes,Never,Sometimes,Often,Never
Other,,Less than 1 hour a day,Anxious or stressed,,Never,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Never,Sometimes,high,Rarely,Motivated,Sometimes,Sometimes,Never,Never,Often
Other,,More than 4 hours a day,Anxious or stressed,,Often,Often,It moderately affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Sometimes,moderate,Occasionally,Indifferent,Often,Sometimes,Sometimes,Never,Often
Male,,1-2 hours a day,Neutral,,Rarely,Rarely,It moderately affects my sleep,I'm satisfied,Sometimes,Rarely,Never,normal,Often,Depressed,Always,Rarely,Sometimes,Sometimes,Rarely
Other,,1-2 hours a day,Happy and relaxed,,Never,Sometimes,It moderately affects my sleep,I feel I could reduce it a bit,Rarely,Rarely,Sometimes,moderate,Rarely,Depressed,Sometimes,Often,Sometimes,Never,Never
Male,,1-2 hours a day,Neutral,,Rarely,Often,It slightly affects my sleep,I'm satisfied,Rarely,Often,Never,moderate,Very often,Depressed,Often,Never,Rarely,Rarely,Often
Male,,1-2 hours a day,Neutral,,Sometimes,Never,It slightly affects my sleep,I feel I spend too much time,Sometimes,Often,Sometimes,normal,Occasionally,Jealous,Sometimes,Often,Sometimes,Rarely,Often
Other,,3-4 hours a day,Happy and relaxed,,Never,Rarely,It doesn't affect my sleep,I feel I could reduce it a bit,Often,Often,Never,high,Often,Indifferent,Sometimes,Rarely,Rarely,Often,Rarely
Other,,3-4 hours a day,Depressed or sad,,Rarely,Often,It doesn't affect my sleep,I feel I spend too much time,Rarely,Never,Rarely,high,Occasionally,Motivated,Rarely or never,Rarely,Often,Rarely,Never
Male,,1-2 hours a day,Anxious or stressed,,Never,Often,It significantly affects my sleep,I feel I could reduce it a bit,Often,Often,Often,moderate,Occasionally,Depressed,Often,Often,Rarely,Often,Sometimes
Male,,Less than 1 hour a day,Neutral,,Often,Rarely,It significantly affects my sleep,I feel it's out of control,Often,Never,Rarely,moderate,Very often,Jealous,Always,Often,Never,Rarely,Rarely
Male,,3-4 hours a day,Neutral,,Often,Sometimes,It slightly affects my sleep,I feel it's out of control,Never,Often,Never,high,Often,Depressed,Sometimes,Often,Often,Often,Rarely
Female,,1-2 hours a day,Happy and relaxed,,Sometimes,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Rarely,high,Rarely,Indifferent,Sometimes,Never,Often,Rarely,Never
Male,,More than 4 hours a day,Happy and relaxed,,Often,Rarely,It moderately affects my sleep,I'm satisfied,Often,Often,Often,moderate,Occasionally,Indifferent,Sometimes,Rarely,Sometimes,Sometimes,Often
Female,,3-4 hours a day,Neutral,,Rarely,Rarely,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Often,Rarely,normal,Often,Indifferent,Always,Never,Rarely,Never,Often
Other,,3-4 hours a day,Happy and relaxed,,Sometimes,Often,It doesn't affect my sleep,I'm satisfied,Often,Often,Sometimes,high,Rarely,Indifferent,Always,Sometimes,Sometimes,Often,Rarely
Male,,More than 4 hours a day,Neutral,,Never,Never,It moderately affects my sleep,I feel I could reduce it a bit,Rarely,Rarely,Rarely,high,Occasionally,Indifferent,Often,Often,Often,Never,Often
Female,,3-4 hours a day,Neutral,,Sometimes,Often,It significantly affects my sleep,I feel it's out of control,Rarely,Rarely,Often,high,Very often,Indifferent,Often,Sometimes,Sometimes,Sometimes,Never
Female,,Less than 1 hour a day,Happy and relaxed,,Often,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Never,Sometimes,high,Very often,Jealous,Always,Often,Never,Sometimes,Sometimes
